Date,Open,High,Low,Close,Adj Close,Volume
12/30/2020,2.043362,2.073589,1.964,1.989524,1.989524,172278687
12/31/2020,1.989491,2.019079,1.943981,2.015081,2.015081,154051545
1/1/2021,2.014092,2.128447,1.986145,2.008919,2.008919,177515578
1/2/2021,2.009306,2.056129,1.958316,1.998693,1.998693,233029593
1/3/2021,1.999217,2.224712,1.956192,2.133314,2.133314,312112831
1/4/2021,2.135093,2.351714,2.050242,2.311222,2.311222,376283723
1/5/2021,2.312734,2.459136,2.150207,2.379434,2.379434,370590661
1/6/2021,2.380155,2.731992,2.303605,2.616993,2.616993,460356340
1/7/2021,2.624953,2.775276,2.424461,2.533711,2.533711,455057318
1/8/2021,2.531239,2.564945,2.266586,2.459804,2.459804,415712694
1/9/2021,2.459383,2.689882,2.422092,2.640894,2.640894,359421765
1/10/2021,2.641848,2.948355,2.434643,2.771251,2.771251,600574981
1/11/2021,2.771549,2.771549,2.11092,2.334696,2.334696,547896519
